OBJECTID,Shape,NAME,GRADE,TYPE,ADDRESS,CITY,ZIP,PHONE,WEBSITE,SCHOOL
33,"(47.69497451500007, -122.38703547799997)",North Beach,K - 5,Elementary,9018 24th Ave NW,Seattle,98117,(206) 252-1510,http://northbeaches.seattleschools.org/,North Beach
34,"(47.714867154000046, -122.32958502799994)",Northgate,K - 5,Elementary,11725 1st Ave NE,Seattle,98125,(206) 252-4180,http://northgatees.seattleschools.org/,Northgate
35,"(47.72368616700004, -122.30675543599995)",Olympic Hills,K - 5,Elementary,13018 20th Ave NE,Seattle,98125,(206) 252-4300,http://www.olympichills.org/,Olympic Hills
36,"(47.69823172700006, -122.32125785099998)",Olympic View,K - 5,Elementary,504 NE 95th St,Seattle,98115,(206) 252-5500,http://olympicviewes.seattleschools.org/,Olympic View
37,"(47.63796372400003, -122.34896919299996)",Queen Anne,K - 5,Elementary,411 Boston St,Seattle,98109,(206) 252-2480,http://www.queenanneelementary.com/,Queen Anne
38,"(47.70742643500006, -122.28463371899994)",John Rogers,K - 5,Elementary,4030 NE 109th St,Seattle,98125,(206) 252-4320,http://rogerses.seattleschools.org/,Rogers
39,"(47.49886332300008, -122.26317206499999)",Rainier View,K - 5,Elementary,11650 Beacon Ave S,Seattle,98178,(206) 252-6700, ,Rainier View
40,"(47.51805292800003, -122.37055801899999)",Roxhill,K - 5,Elementary,9430 30th Ave SW,Seattle,98126,(206) 252-9570,http://roxhilles.seattleschools.org/,Roxhill
41,"(47.69844855000008, -122.30747271999996)",Sacajawea,K - 5,Elementary,9501 20th Ave NE,Seattle,98115,(206) 252-5550,http://sacajaweaes.seattleschools.org/,Sacajawea
42,"(47.53960839200005, -122.35865807799996)",Sanislo,K - 5,Elementary,1812 SW Myrtle St,Seattle,98106,(206) 252-8380,http://sanisloes.seattleschools.org/,Sanislo
43,"(47.57268907300005, -122.39673081499996)",Schmitz Park,K - 5,Elementary,5000 SW Spokane St,Seattle,98116,(206) 252-9700,http://schmitzparkes.seattleschools.org/,Schmitz Park
44,"(47.657528253000066, -122.32405186699998)",John Stanford International School,K - 5,Elementary,4057 5th Ave NE,Seattle,98105,(206) 252-6080,http://stanfordes.seattleschools.org/,John Stanford
45,"(47.63149506800005, -122.30760651899999)",Stevens,K - 5,Elementary,1242 18th Ave E,Seattle,98112,(206) 252-3400,http://stevenses.seattleschools.org/,Stevens
46,"(47.68503290500007, -122.28266757999995)",Thornton Creek,K - 5,Elementary,7711 43rd Ave NE,Seattle,98115,(206) 252-5300,http://thorntoncreekschool.org/,Thornton Creek
47,"(47.52915162900007, -122.28903550799998)",Van Asselt,K - 5,Elementary,8311 Beacon Ave S,Seattle,98118,(206) 252-7500,http://vanasseltes.seattleschools.org/,Van Asselt
48,"(47.705972803000066, -122.361129431)",Viewlands,K - 5,Elementary,10525 3rd Ave NW,Seattle,98177,(206) 252-4400, ,Viewlands
49,"(47.68068710800003, -122.27533215299997)",View Ridge,K - 5,Elementary,7047 50th Ave NE,Seattle,98115,(206) 252-5600,http://viewridgees.seattleschools.org/,View Ridge
50,"(47.69053804100008, -122.29705383099997)",Wedgwood,K - 5,Elementary,2720 NE 85th St,Seattle,98115,(206) 252-5670,http://wedgwoodes.seattleschools.org/,Wedgwood
51,"(47.54176186900003, -122.373492683)",West Seattle,K - 5,Elementary,6760 34th Ave SW,Seattle,98126,(206) 252-9450,http://westseattlees.seattleschools.org/,West Seattle
52,"(47.68358983100006, -122.37307537999999)",Whittier,K - 5,Elementary,1320 NW 75th St,Seattle,98117,(206) 252-1650,http://whittieres.seattleschools.org/,Whittier
53,"(47.530739348000054, -122.28490601399994)",Wing Luke,K - 5,Elementary,3701 S Kenyon St,Seattle,98118,(206) 252-7630,http://lukees.seattleschools.org/,Wing Luke
54,"(47.70994486400008, -122.29300903699999)",Jane Addams,K - 8,K - 8,11051 34th Ave NE,Seattle,98125,(206) 252-4500,http://addamsk8.seattleschools.org/,Jane Addams
55,"(47.642257347000054, -122.39926244199995)",Catharine Blaine,K - 8,K - 8,2550 34th Ave W,Seattle,98199,(206) 252-1920,http://blainek8.seattleschools.org/,Blaine
56,"(47.72463109800003, -122.35314865899994)",Broadview - Thomson,K - 8,K - 8,13052 Greenwood Ave N,Seattle,98133,(206) 252-4080,http://broadviewk8.seattleschools.org/,Broadview - Thomson
57,"(47.61223677300006, -122.29086888999996)",Madrona,K - 8,K - 8,1121 33rd Ave,Seattle,98122,(206) 252-3100,http://madronak8.seattleschools.org/,Madrona
58,"(47.55477872900008, -122.27595641999994)",Orca,K - 8,K - 8,5215 46th Ave S,Seattle,98118,(206) 252-6900,http://orcak8.seattleschools.org/,Orca
59,"(47.56360479700004, -122.35799713299997)",Pathfinder,K - 8,K - 8,1901 SW Genesee St,Seattle,98106,(206) 252-9710,http://pathfinderk8.seattleschools.org/,Pathfinder
60,"(47.713430241000026, -122.31465833499999)",Pinehurst,K - 8,K - 8,11530 12th Ave NE,Seattle,98125,(206) 252-4600,http://pinehurstk8.seattleschools.org/,Pinehurst
61,"(47.67629742100007, -122.38051207799998)",Salmon Bay,K - 8,K - 8,1810 NW 65th St,Seattle,98117,(206) 252-1720,http://www.salmonbayschool.org/,Salmon Bay
62,"(47.523742938000055, -122.27200912399996)",South Shore,K - 8,K - 8,4800 S Henderson St,Seattle,98118,(206) 252-7600,http://sites.google.com/site/southshoreseadragons/,South Shore
63,"(47.64228685200004, -122.32417848299997)",TOPS at Seward,K - 8,K - 8,2500 Franklin Ave E,Seattle,98102,(206) 252-3510,http://www.topsk8.org/,TOPS
64,"(47.53172773600005, -122.36619522399997)",Denny International,6 - 8,Middle,2601 SW Kenyon St,Seattle,98126,(206) 252-9000,http://dennyms.seattleschools.org/,Denny
65,"(47.682520089000036, -122.29498267099996)",Eckstein,6 - 8,Middle,3003 NE 75th St,Seattle,98115,(206) 252-5010,http://ecksteineagles.org/,Eckstein
66,"(47.65708002800005, -122.33802753499998)",Hamilton International,6 - 8,Middle,1610 N 41th St,Seattle,98103,(206) 252-5810,http://hamiltonms.seattleschools.org/,Hamilton
67,"(47.54632185600008, -122.28198038299996)",Aki Kurose Academy,6 - 8,Middle,3928 S Graham St,Seattle,98118,(206) 252-7700,http://www.akikuroseacademy.org/,Aki Kurose
68,"(47.57298063200005, -122.39027970299998)",Madison,6 - 8,Middle,3429 45th Ave SW,Seattle,98116,(206) 252-9200,http://madisonms.seattleschools.org/,Madison
69,"(47.636826273000054, -122.35895522299995)",McClure,6 - 8,Middle,1915 1st Ave W,Seattle,98119,(206) 252-1900,http://mcclurems.seattleschools.org/,McClure
70,"(47.56413274800008, -122.31208319499996)",Asa Mercer,6 - 8,Middle,1600 S Columbian Wy,Seattle,98108,(206) 252-8000,http://asamercer.org/,Mercer
71,"(47.59795569200003, -122.30414977399994)",Washington,6 - 8,Middle,2101 S Jackson St,Seattle,98144,(206) 252-2600,http://www.wmsptsa.com/,Washington
72,"(47.69675145100007, -122.37760191299998)",Whitman,6 - 8,Middle,9201 15th Ave NW,Seattle,98117,(206) 252-1200,http://whitmanms.seattleschools.org/,Whitman
73,"(47.67661077000008, -122.374888667)",Ballard,9 - 12,High,1418 NW 65th St,Seattle,98117,(206) 252-1000,http://ballardhs.seattleschools.org/,Ballard
74,"(47.622079263000046, -122.35398171599996)",The Center School,9 - 12,High,305 Harrison St,Seattle,98109,(206) 252-9850,http://centerhs.seattleschools.org/,Center
75,"(47.52863205300008, -122.36615479599999)",Chief Sealth International,9 - 12,High,2600 SW Thistle St,Seattle,98126,(206) 252-8550,http://chiefsealthhs.seattleschools.org/,Chief Sealth
76,"(47.552372079000065, -122.31391191399996)",Cleveland - STEM,9 - 12,High,5511 15th Ave S,Seattle,98108,(206) 252-7800,http://clevelandhs.seattleschools.org/,Cleveland
77,"(47.575887667000075, -122.29364640999995)",Franklin,9 - 12,High,3013 S Mt Baker Blvd,Seattle,98144,(206) 252-6150,http://franklinhs.seattleschools.org/,Franklin
78,"(47.60541951400006, -122.30190469099995)",Garfield,9 - 12,High,400 23rd Ave,Seattle,98122,(206) 252-2270,http://garfieldhs.seattleschools.org/,Garfield
79,"(47.707628612000065, -122.29453071899997)",Nathan Hale,9 - 12,High,10750 30th Ave NE,Seattle,98125,(206) 252-3680,http://halehighschool.info/,Nathan Hale
80,"(47.72569938400005, -122.33683812299995)",Ingraham,9 - 12,High,1819 N 135th St,Seattle,98133,(206) 252-3880,http://ingrahamhs.seattleschools.org/,Ingraham
81,"(47.62265555000005, -122.30547139899994)",Nova,9 - 12,High,300 20th Ave E,Seattle,98112,(206) 252-3500,http://novahs.seattleschools.org/,Nova
82,"(47.52407076900005, -122.26585898499997)",Rainier Beach,9 - 12,High,8815 Seward Park S,Seattle,98118,(206) 252-6350,http://rainierbeachhs.seattleschools.org,Rainier Beach
83,"(47.67723138500003, -122.31280954399995)",Roosevelt,9 - 12,High,1410 NE 66th St,Seattle,98115,(206) 252-4810,http://www.rhsseattle.org/,Roosevelt
84,"(47.576779685000076, -122.38459096599996)",West Seattle,9 - 12,High,3000 California Ave SW,Seattle,98116,(206) 252-8800,http://westseattlehs.seattleschools.org/,West Seattle
85,"(47.585469215000046, -122.31510488899994)",Beacon Hill International School,K - 5,Elementary,2025 14th Ave S,Seattle,98144,(206) 252-2700,http://www.beaconhillinternationalschool.org/,Beacon Hill
86,"(47.57404525800007, -122.30301449399997)",Kimball,K - 5,Elementary,3200 23rd Ave S,Seattle,98144,(206) 252-7280,http://www.kimballcougars.org/Kimball/Welcome.html,Kimball
87,"(47.640632639000046, -122.30428418799994)",Montlake,K - 5,Elementary,2409 22nd Ave E,Seattle,98112,(206) 252-3300,http://montlakees.seattleschools.org/,Montlake
88,"(47.67365154500004, -122.26293321399999)",Sand Point,K - 5,Elementary,6208 60th Ave NE,Seattle,98115,(206) 252-4640,http://sandpointes.seattleschools.org/,Sand Point
89,"(47.67059930900007, -122.36224677699994)",West Woodland,K - 5,Elementary,5601 4th Ave NW,Seattle,98107,(206) 252-1600,http://www.westwoodlandes.seattleschools.org/,West Woodland
90,"(47.55260740300008, -122.38029670399999)",Fairmont Park,,Elementary,3800 SW Findlay St,Seattle,98126,,,Fairmont
91,"(47.54874229200004, -122.36211407799999)",K-5 STEM at Boren,K - 5,Elementary,5950 Delridge Way S,Seattle,98109,,,K-5 STEM
92,"(47.69465241200004, -122.33960474399998)",Middle College ,,High,1330 N 90 St,Seattle,98103,,,Middle College
93,"(47.62174247300004, -122.30523802099998)",Seattle World School,,Middle,301 21st Ave E,Seattle,98112,,,Seattle World
94,"(47.52518164300005, -122.27089807599998)",South Lake,9 - 12,High,8601 Rainier Ave S,Seattle,98118,,,South Lake
95,"(47.56109330700008, -122.29220794999998)",Interagency Programs,,Middle,3100 S Alaska St,Seattle,98108,,,Interagency
